series_title,runtime,genre,imdb_rating,overview,meta_score,director,star1,star2,star3,star4,gross
Sound of Metal,120,"['Drama', 'Music']",7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,81.0,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,22350918.5
The Incredibles,115,"['Animation', 'Action', 'Adventure']",8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",90.0,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,261441092.0
El cuerpo,112,"['Mystery', 'Thriller']",7.6,A detective searches for the body of a femme fatale which has gone missing from a morgue.,80.0,Oriol Paulo,Jose Coronado,Hugo Silva,Belén Rueda,Aura Garrido,22350918.5
Baby Driver,113,"['Action', 'Crime', 'Drama']",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",86.0,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,107825862.0
Kari-gurashi no Arietti,94,"['Animation', 'Adventure', 'Family']",7.6,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",80.0,Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,19202743.0
Avengers: Infinity War,149,"['Action', 'Adventure', 'Sci-Fi']",8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,68.0,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,678815482.0
Dom za vesanje,142,"['Comedy', 'Crime', 'Drama']",8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",80.0,Emir Kusturica,Davor Dujmovic,Bora Todorovic,Ljubica Adzovic,Husnija Hasimovic,280015.0
The Truman Show,103,"['Comedy', 'Drama']",8.1,An insurance salesman discovers his whole life is actually a reality TV show.,90.0,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,125618201.0
Primal Fear,129,"['Crime', 'Drama', 'Mystery']",7.7,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",47.0,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney,56116183.0
Tropa de Elite 2: O Inimigo Agora é Outro,115,"['Action', 'Crime', 'Drama']",8.0,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",71.0,José Padilha,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,100119.0
